ID,feed_id,method_id,pollutant_averaging,pollutant_id,pollutant_unit,date,pollutant_value,station_id,X,Y,ID_estacion
1,UYMVD_2007_1_2_24,UYMVD_PM2_D ,24,PM2,ug/m3,02/01/07,86,UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
2,UYMVD_2007_1_9_24,UYMVD_PM2_D ,24,PM2,ug/m3,09/01/07,"30,17",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
3,UYMVD_2007_1_15_24,UYMVD_PM2_D ,24,PM2,ug/m3,15/01/07,"35,95",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
4,UYMVD_2007_2_6_24,UYMVD_PM2_D ,24,PM2,ug/m3,06/02/07,"37,57",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
5,UYMVD_2007_2_12_24,UYMVD_PM2_D ,24,PM2,ug/m3,12/02/07,"45,52",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
6,UYMVD_2007_2_21_24,UYMVD_PM2_D ,24,PM2,ug/m3,21/02/07,"36,96",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
7,UYMVD_2007_2_26_24,UYMVD_PM2_D ,24,PM2,ug/m3,26/02/07,"57,38",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
8,UYMVD_2007_3_5_24,UYMVD_PM2_D ,24,PM2,ug/m3,05/03/07,"22,35",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
9,UYMVD_2007_3_12_24,UYMVD_PM2_D ,24,PM2,ug/m3,12/03/07,"37,8",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
10,UYMVD_2007_3_16_24,UYMVD_PM2_D ,24,PM2,ug/m3,16/03/07,"51,85",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
11,UYMVD_2007_3_28_24,UYMVD_PM2_D ,24,PM2,ug/m3,28/03/07,"55,67",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
12,UYMVD_2007_4_10_24,UYMVD_PM2_D ,24,PM2,ug/m3,10/04/07,"32,91",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
13,UYMVD_2007_4_20_24,UYMVD_PM2_D ,24,PM2,ug/m3,20/04/07,"3,87",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
14,UYMVD_2007_5_2_24,UYMVD_PM2_D ,24,PM2,ug/m3,02/05/07,"47,24",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
15,UYMVD_2007_5_8_24,UYMVD_PM2_D ,24,PM2,ug/m3,08/05/07,"18,21",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
