ID,feed_id,method_id,pollutant_averaging,pollutant_id,pollutant_unit,date,pollutant_value,station_id,X,Y,ID_estacion
1,UYMVD_2004_1_9_24,UYMVD_HN,24,HN,ug/m3,09/01/04,15,UYMVD_E1,572831966,6136774091,Ciudad Vieja 1
2,UYMVD_2004_1_12_24,UYMVD_HN,24,HN,ug/m3,12/01/04,22,UYMVD_E1,572831966,6136774091,Ciudad Vieja 1
3,UYMVD_2004_1_13_24,UYMVD_HN,24,HN,ug/m3,13/01/04,18,UYMVD_E1,572831966,6136774091,Ciudad Vieja 1
4,UYMVD_2004_1_14_24,UYMVD_HN,24,HN,ug/m3,14/01/04,12,UYMVD_E1,572831966,6136774091,Ciudad Vieja 1
5,UYMVD_2004_1_15_24,UYMVD_HN,24,HN,ug/m3,15/01/04,12,UYMVD_E1,572831966,6136774091,Ciudad Vieja 1
6,UYMVD_2004_1_16_24,UYMVD_HN,24,HN,ug/m3,16/01/04,13,UYMVD_E1,572831966,6136774091,Ciudad Vieja 1
7,UYMVD_2004_1_19_24,UYMVD_HN,24,HN,ug/m3,19/01/04,21,UYMVD_E1,572831966,6136774091,Ciudad Vieja 1
8,UYMVD_2004_1_20_24,UYMVD_HN,24,HN,ug/m3,20/01/04,19,UYMVD_E1,572831966,6136774091,Ciudad Vieja 1
9,UYMVD_2004_1_22_24,UYMVD_HN,24,HN,ug/m3,22/01/04,14,UYMVD_E1,572831966,6136774091,Ciudad Vieja 1
10,UYMVD_2004_1_23_24,UYMVD_HN,24,HN,ug/m3,23/01/04,19,UYMVD_E1,572831966,6136774091,Ciudad Vieja 1
11,UYMVD_2004_1_26_24,UYMVD_HN,24,HN,ug/m3,26/01/04,28,UYMVD_E1,572831966,6136774091,Ciudad Vieja 1
12,UYMVD_2004_1_27_24,UYMVD_HN,24,HN,ug/m3,27/01/04,22,UYMVD_E1,572831966,6136774091,Ciudad Vieja 1
13,UYMVD_2004_1_28_24,UYMVD_HN,24,HN,ug/m3,28/01/04,15,UYMVD_E1,572831966,6136774091,Ciudad Vieja 1
14,UYMVD_2004_1_29_24,UYMVD_HN,24,HN,ug/m3,29/01/04,18,UYMVD_E1,572831966,6136774091,Ciudad Vieja 1
