ID,feed_id,method_id,pollutant_averaging,pollutant_id,pollutant_unit,date,pollutant_value,station_id,X,Y,ID_estacion
1,UYMVD_2004_12_9_24,UYMVD_PTS,24,PTS,ug/m3,09/12/04,56,UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
2,UYMVD_2004_12_22_24,UYMVD_PTS,24,PTS,ug/m3,22/12/04,32,UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
3,UYMVD_2005_1_2_24,UYMVD_PTS,24,PTS,ug/m3,02/01/05,31,UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
4,UYMVD_2005_1_12_24,UYMVD_PTS,24,PTS,ug/m3,12/01/05,51,UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
5,UYMVD_2005_1_21_24,UYMVD_PTS,24,PTS,ug/m3,21/01/05,62,UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
6,UYMVD_2005_1_29_24,UYMVD_PTS,24,PTS,ug/m3,29/01/05,101,UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
7,UYMVD_2005_3_11_24,UYMVD_PTS,24,PTS,ug/m3,11/03/05,51,UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
8,UYMVD_2005_3_17_24,UYMVD_PTS,24,PTS,ug/m3,17/03/05,44,UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
9,UYMVD_2005_3_30_24,UYMVD_PTS,24,PTS,ug/m3,30/03/05,38,UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
10,UYMVD_2005_4_7_24,UYMVD_PTS,24,PTS,ug/m3,07/04/05,36,UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
11,UYMVD_2005_4_20_24,UYMVD_PTS,24,PTS,ug/m3,20/04/05,42,UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
12,UYMVD_2005_4_26_24,UYMVD_PTS,24,PTS,ug/m3,26/04/05,99,UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
13,UYMVD_2005_5_8_24,UYMVD_PTS,24,PTS,ug/m3,08/05/05,64,UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
14,UYMVD_2005_5_20_24,UYMVD_PTS,24,PTS,ug/m3,20/05/05,38,UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
15,UYMVD_2005_5_26_24,UYMVD_PTS,24,PTS,ug/m3,26/05/05,50,UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
16,UYMVD_2005_6_1_24,UYMVD_PTS,24,PTS,ug/m3,01/06/05,34,UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
17,UYMVD_2005_6_9_24,UYMVD_PTS,24,PTS,ug/m3,09/06/05,4,UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
18,UYMVD_2005_6_19_24,UYMVD_PTS,24,PTS,ug/m3,19/06/05,1,UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
19,UYMVD_2005_6_24_24,UYMVD_PTS,24,PTS,ug/m3,24/06/05,78,UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
20,UYMVD_2005_6_30_24,UYMVD_PTS,24,PTS,ug/m3,30/06/05,49,UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
21,UYMVD_2005_7_6_24,UYMVD_PTS,24,PTS,ug/m3,06/07/05,19,UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
