GID;ZONA_LEGAL;NROBARRIO;BARRIO;CODBA
 8647694;CCZ12;32;MANGA TOLEDO CHICO;MT
 8647695;CCZ10;32;MANGA TOLEDO CHICO;MT
 8647698;CCZ09;32;MANGA TOLEDO CHICO;MT
 8647701;CCZ13;32;MANGA TOLEDO CHICO;MT
 8647702;CCZ11;32;MANGA TOLEDO CHICO;MT
 8647694;CCZ12;58;COLON SURESTE ABAYUBA;CY
 8647695;CCZ10;58;COLON SURESTE ABAYUBA;CY
 8647701;CCZ13;58;COLON SURESTE ABAYUBA;CY
 8647695;CCZ10;61;VILLA GARCIA MANGA RURAL;VG
 8647698;CCZ09;61;VILLA GARCIA MANGA RURAL;VG
 8647698;CCZ09;16;BA�ADOS DE CARRASCO;BC
 8647699;CCZ08;16;BA�ADOS DE CARRASCO;BC
 8647695;CCZ10;62;MANGA;MG
 8647698;CCZ09;62;MANGA;MG
 8647702;CCZ11;62;MANGA;MG
 8647694;CCZ12;34;PE�AROL LAVALLEJA;PJ
 8647695;CCZ10;34;PE�AROL LAVALLEJA;PJ
 8647701;CCZ13;34;PE�AROL LAVALLEJA;PJ
 8647702;CCZ11;34;PE�AROL LAVALLEJA;PJ
 8647703;CCZ15;34;PE�AROL LAVALLEJA;PJ
 8647698;CCZ09;20;PUNTA RIELES BELLA ITALIA;PT
 8647695;CCZ10;30;CASAVALLE;CV
 8647701;CCZ13;30;CASAVALLE;CV
 8647702;CCZ11;30;CASAVALLE;CV
 8647695;CCZ10;31;PIEDRAS BLANCAS;PI
 8647698;CCZ09;31;PIEDRAS BLANCAS;PI
 8647702;CCZ11;31;PIEDRAS BLANCAS;PI
 8647701;CCZ13;52;SAYAGO;SA
 8647695;CCZ10;21;JARDINES DEL HIPODROMO;JH
 8647698;CCZ09;21;JARDINES DEL HIPODROMO;JH
 8647702;CCZ11;21;JARDINES DEL HIPODROMO;JH
 8647696;CCZ17;36;CASABO PAJAS BLANCAS;CA
 8647709;CCZ18;36;CASABO PAJAS BLANCAS;CA
 8647695;CCZ10;28;LAS ACACIAS;LA
 8647698;CCZ09;28;LAS ACACIAS;LA
 8647702;CCZ11;28;LAS ACACIAS;LA
 8647696;CCZ17;37;LA PALOMA TOMKINSON;LP
 8647697;CCZ14;37;LA PALOMA TOMKINSON;LP
 8647709;CCZ18;37;LA PALOMA TOMKINSON;LP
 8647697;CCZ14;54;BELVEDERE;BE
 8647701;CCZ13;54;BELVEDERE;BE
 8647697;CCZ14;33;PASO DE LAS DURANAS;PD
 8647701;CCZ13;33;PASO DE LAS DURANAS;PD
 8647703;CCZ15;33;PASO DE LAS DURANAS;PD
 8647698;CCZ09;22;ITUZAINGO;IT
 8647702;CCZ11;22;ITUZAINGO;IT
 8647698;CCZ09;18;FLOR DE MARO�AS;FL
 8647701;CCZ13;29;AIRES PUROS;AI
 8647702;CCZ11;29;AIRES PUROS;AI
 8647703;CCZ15;29;AIRES PUROS;AI
 8647698;CCZ09;26;CASTRO CASTELLANOS;CC
 8647702;CCZ11;26;CASTRO CASTELLANOS;CC
 8647705;CCZ03;26;CASTRO CASTELLANOS;CC
 8647696;CCZ17;56;TRES OMBUES PBLO VICTORIA;TO
 8647697;CCZ14;56;TRES OMBUES PBLO VICTORIA;TO
 8647702;CCZ11;27;CERRITO;CT
 8647703;CCZ15;27;CERRITO;CT
 8647705;CCZ03;27;CERRITO;CT
 8647697;CCZ14;39;PRADO NUEVA SAVONA;PN
